word	Valence	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
seznaniti	0	0	0	0	0	0	0	0	0	0	0
znanec	0	0	0	0	0	0	0	0	0	0	0
seznanjen	0	0	0	0	0	0	0	0	0	0	0
privolitev	0	0	0	0	0	0	0	0	0	0	0
pridobiti	1	1	0	0	0	0	0	0	0	0	0
usvojiti	1	1	0	0	0	0	0	0	0	0	0
pridobivanje	1	1	0	0	1	0	0	0	0	0	0
usvajanje	1	1	0	0	1	0	0	0	0	0	0
pridobitev	0	0	0	0	0	0	0	0	0	0	0
prevzemi	0	0	0	0	0	0	0	0	0	0	0
akvizicije	0	0	0	0	0	0	0	0	0	0	0
površina	0	0	0	0	0	0	0	0	0	0	0
hektar	0	0	0	0	0	0	0	0	0	0	0
akrobat	1	1	0	0	0	0	1	1	0	0	1
ukrepati	0	0	0	0	0	0	0	0	0	0	0
dejanje	0	0	0	0	0	0	0	0	0	0	0
igrati	0	0	0	0	0	0	0	0	0	0	0
delovanje	1	1	0	0	0	0	0	0	0	0	0
tožljiv	-1	0	1	1	0	1	0	0	0	0	0
aktiven	0	0	0	0	0	0	0	0	0	0	0
dejavnost	0	0	0	0	0	0	0	0	0	0	0
igralec	0	0	0	0	0	0	0	0	0	0	0
dejanski	1	1	0	0	0	0	0	0	0	0	0
dejstvo	0	0	0	0	0	0	0	0	0	0	0
aktuar	0	0	0	0	0	0	0	0	0	0	0
ostrina	1	1	0	0	0	0	0	0	0	0	0
bistroumnost	1	1	0	0	0	0	0	0	0	0	0
daljnovidnost	1	1	0	0	0	0	0	0	0	0	0
akupunktura	0	0	0	0	0	0	0	0	0	0	0
skrajen	0	0	0	0	0	0	0	0	0	0	0
pregovor	0	0	0	0	0	0	0	0	0	0	0
nepopustljiv	0	0	0	0	0	0	0	0	0	0	0
prilagoditi	1	1	0	0	0	0	0	0	0	0	0
prilagodljiv	1	1	0	0	0	0	0	0	0	0	0
dodati	0	0	0	0	0	0	0	0	0	0	0
dodan	0	0	0	0	0	0	0	0	0	0	0
dopolnilo	0	0	0	0	0	0	0	0	0	0	0
gad	-1	0	1	1	0	1	1	0	1	0	0
zasvojenost	-1	0	1	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0	0
dodaten	0	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0	0
naslov	0	0	0	0	0	0	0	0	0	0	0
nasloviti	0	0	0	0	0	0	0	0	0	0	0
naslovnik	0	0	0	0	0	0	0	0	0	0	0
naslov	1	1	0	0	1	0	0	0	0	0	0
nasloviti	1	1	0	0	1	0	0	0	0	0	0
spreten	1	1	0	0	0	0	0	0	0	0	0
izkušen	1	1	0	0	0	0	0	0	0	0	0
zadostnost	1	1	0	0	0	0	0	0	0	0	0
primernost	1	1	0	0	0	0	0	0	0	0	0
primeren	0	0	0	0	0	0	0	0	0	0	0
držati se	0	0	0	0	0	0	0	0	0	0	0
oprijemanje	0	0	0	0	0	0	0	0	0	0	0
oprijemljiv	0	0	0	0	0	0	0	0	0	0	0
lepiti se	0	0	0	0	0	0	0	0	0	0	1
držati se	0	0	0	0	0	0	0	0	0	0	1
adhezija	0	0	0	0	0	0	0	0	0	0	0
lepljiv	0	0	0	0	0	0	0	0	0	0	0
lepilo	0	0	0	0	0	0	0	0	0	0	0
zbogom	0	0	0	0	0	0	0	0	0	0	0
maščoba	-1	0	1	0	0	0	0	0	0	0	0
maščevje	-1	0	1	0	0	0	0	0	0	0	0
sosedstvo	0	0	0	0	0	0	0	0	0	0	0
bližnji	0	0	0	0	0	0	0	0	0	0	0
soseden	0	0	0	0	0	0	0	0	0	0	0
pridevnik	0	0	0	0	0	0	0	0	0	0	0
sosednji	0	0	0	0	0	0	0	0	0	0	0
prekiniti	0	0	0	0	0	0	0	0	0	0	0
prekinitev	0	0	0	0	0	0	0	0	0	0	0
razsoditi	-1	0	1	0	0	0	1	0	0	0	0
presoja	0	0	0	0	0	0	0	0	0	0	0
dodatek	1	1	0	0	0	0	0	0	0	0	0
popraviti	0	0	0	0	0	0	0	0	0	0	0
prilagoditi	0	0	0	0	0	0	0	0	0	0	0
prilagoditev	0	0	0	0	0	0	0	0	0	0	0
adjuvant	0	0	0	0	0	0	0	0	0	0	0
upravljati	0	0	0	0	0	0	0	0	0	0	0
uprava	0	0	0	0	0	0	0	0	0	0	0
upraven	0	0	0	0	0	0	0	0	0	0	1
administrativen	0	0	0	0	0	0	0	0	0	0	1
odličen	1	1	0	0	0	0	0	1	0	0	1
občudovanja vreden	1	1	0	0	0	0	0	1	0	0	1
admiral	1	1	0	0	0	0	0	0	0	0	1
admiraliteta	0	0	0	0	0	0	0	0	0	0	0
občudovanje	1	1	0	0	0	0	0	1	0	0	1
občudovati	1	1	0	0	0	0	0	0	0	0	1
občudovalec	1	1	0	0	0	0	0	0	0	0	0
dopustnost	0	0	0	0	0	0	0	0	0	0	0
dopusten	1	1	0	0	0	0	0	0	0	0	1
vstop	0	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0	0
sprejem	0	0	0	0	0	0	0	0	0	0	0
sprejet	0	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0	0
opomin	-1	0	1	0	0	0	1	0	0	0	0
trud	0	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	0
mladostništvo	0	0	0	0	0	0	0	0	0	0	0
adolescenca	0	0	0	0	0	0	0	0	0	0	0
mladostnik	0	0	0	0	0	0	0	0	0	0	0
posvojiti	0	0	0	0	0	0	0	0	0	0	0
posvojitev	0	0	0	0	0	0	0	0	0	0	0
očarljiv	1	1	0	0	0	0	0	1	0	0	0
oboževanje	1	1	0	0	0	0	0	1	0	0	1
oboževati	1	1	0	0	1	0	0	1	0	0	1
krasiti	0	0	0	0	0	0	0	0	0	0	0
okras	0	0	0	0	0	0	0	0	0	0	0
zmeden	-1	0	1	0	1	0	1	0	1	0	0
odrasel	0	0	0	0	0	0	0	0	0	0	0
pokvarjen	-1	0	1	0	0	0	0	0	0	0	0
ponarejen	-1	0	1	0	0	0	0	0	0	0	0
prešuštvo	-1	0	1	0	0	1	0	0	1	0	0
napredovati	1	1	0	0	1	0	1	1	0	1	0
pospešiti	1	1	0	0	1	0	1	1	0	1	0
napredovanje	1	1	0	0	1	0	1	1	0	1	0
predhoden	1	1	0	0	1	0	1	1	0	1	0
napreden	1	1	0	0	0	0	0	0	0	0	0
napredovanje	1	1	0	0	0	0	0	0	0	0	0
napredovanje	0	0	0	0	0	0	0	0	0	0	0
prednost	1	1	0	0	0	0	0	0	0	0	0
ugoden	1	1	0	0	0	0	0	0	0	0	0
prihod	1	1	0	0	1	0	0	1	0	0	1
pustolovščina	1	1	0	0	1	0	0	0	0	0	0
pustolovec	0	0	0	0	0	0	0	0	0	0	0
pustolovski	1	1	0	0	0	0	0	0	0	0	0
nasprotnik	-1	0	1	1	0	0	0	0	0	0	0
nasproten	-1	0	1	1	0	1	1	0	1	0	0
nesreča	-1	0	1	1	0	0	1	0	1	0	0
oglaševati	0	0	0	0	0	0	0	0	0	0	0
oglas	0	0	0	0	0	0	0	0	0	0	0
oglaševanje	0	0	0	0	0	0	0	0	0	0	0
nasvet	0	0	0	0	0	0	0	0	0	0	1
priporočljiv	1	1	0	0	0	0	0	0	0	0	1
svetovati	1	1	0	0	0	0	0	0	0	0	1
informiran	0	0	0	0	0	0	0	0	0	0	1
svetovanje	0	0	0	0	0	0	0	0	0	0	0
svetovalec	1	1	0	0	0	0	0	0	0	0	1
zagovarjanje	1	1	0	1	1	0	0	1	0	0	1
zagovarjati	0	0	0	0	0	0	0	0	0	0	1
patronat	0	0	0	0	0	0	0	0	0	0	0
prezračevanje	0	0	0	0	0	0	0	0	0	0	0
zračen	0	0	0	0	0	0	0	0	0	0	0
letalski	0	0	0	0	0	0	0	0	0	0	0
letališče	0	0	0	0	0	0	0	0	0	0	0
aerodinamika	0	0	0	0	0	0	0	0	0	0	0
aeronavtika	0	0	0	0	0	0	0	0	0	0	0
letalo	0	0	0	0	0	0	0	0	0	0	0
estetski	1	1	0	0	0	0	0	0	0	0	0
estetika	1	1	0	0	0	0	0	1	0	0	0
etiologija	0	0	0	0	0	0	0	0	0	0	0
daleč	0	0	0	0	0	0	0	0	0	0	0
prijazen	1	1	0	0	0	0	0	0	0	0	0
zadeva	0	0	0	0	0	0	0	0	0	0	0
afera	0	0	0	0	0	0	0	0	0	0	0
vplivati	0	0	0	0	0	0	0	0	0	0	0
naklonjenost	1	1	0	0	0	0	0	1	0	0	1
ljubezen	1	1	0	0	0	0	0	1	0	0	1
naklonjenost	0	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	0
zaprisežena pisna izjava	0	0	0	0	0	0	0	0	0	0	0
podružen	1	1	0	0	0	0	0	0	0	0	0
pripadnost	0	0	0	0	0	0	0	0	0	0	0
naklonjenost	0	0	0	0	0	0	0	0	0	0	0
potrditi	1	1	0	0	0	0	0	0	0	0	1
potrditev	1	1	0	0	0	0	0	0	0	0	0
pritrdilen	1	1	0	0	0	0	0	0	0	0	0
pritrdilno	1	1	0	0	0	0	0	0	0	0	1
pritrditi	0	0	0	0	0	0	0	0	0	0	0
mučiti	-1	0	1	0	0	0	1	0	1	0	0
prizadeti	-1	0	1	0	0	0	1	0	1	0	0
prizadet	-1	0	1	0	0	0	0	0	0	0	0
stiska	-1	0	1	0	0	1	1	0	1	0	0
blaginja	1	1	0	0	0	0	0	1	0	0	0
premožen	1	1	0	0	0	0	0	0	0	0	0
privoščiti si	1	1	0	0	0	0	0	0	0	0	0
žalitev	-1	0	1	1	0	1	1	0	1	1	0
žaliti	-1	0	1	1	0	1	1	0	1	1	0
izzivanje	-1	0	1	1	0	1	1	0	1	1	0
izzivati	-1	0	1	1	0	1	1	0	1	1	0
oddaljen	0	0	0	0	0	0	0	0	0	0	0
prej	0	0	0	0	0	0	0	0	0	0	0
prej omenjen	0	0	0	0	0	0	0	0	0	0	0
prej omenjen	0	0	0	0	0	0	0	0	0	0	0
prestrašen	-1	0	1	0	0	0	1	0	0	0	0
znova	0	0	0	0	0	0	0	0	0	0	0
zadaj	0	0	0	0	0	0	0	0	0	0	0
posledica	-1	0	1	1	0	1	1	0	1	0	0
popoldne	0	0	0	0	0	0	0	0	0	0	0
priokus	-1	0	1	0	0	0	0	0	0	0	0
naknadna misel	0	0	0	0	0	0	0	0	0	0	0
aga	1	1	0	0	0	0	1	0	0	0	1
ahat	0	0	0	0	0	0	0	0	0	0	0
starost	0	0	0	0	0	0	0	0	0	0	0
doba era	0	0	0	0	0	0	0	0	0	0	0
epoha	0	0	0	0	0	0	0	0	0	0	0
postaran	0	0	0	0	0	0	0	0	0	0	0
star	0	0	0	0	0	0	0	0	0	0	0
agencija	0	0	0	0	0	0	0	0	0	0	0
agent	0	0	0	0	0	0	0	0	0	0	0
aglomeracija	0	0	0	0	0	0	0	0	0	0	0
poslabšan	-1	0	1	1	0	0	0	0	0	0	0
zoprn	-1	0	1	1	0	0	0	0	1	0	0
slabšati	-1	0	1	1	0	0	0	0	1	0	0
poslabšanje	-1	0	1	1	0	1	0	0	0	0	0
agregat	0	0	0	0	0	0	0	0	0	0	0
združevanje	0	0	0	0	0	0	0	0	0	0	0
nasilje	-1	0	1	1	0	0	1	0	0	0	0
napad	-1	0	1	1	0	0	1	0	0	0	0
napadalen	-1	0	1	1	0	0	1	0	0	0	0
nasilen	-1	0	1	1	0	0	1	0	0	0	0
napadalec	-1	0	1	1	0	0	1	0	0	0	0
osupel	-1	0	1	0	0	1	1	0	0	1	0
zgrožen	-1	0	1	0	0	1	1	0	0	1	0
spreten	1	1	0	0	0	0	0	0	0	0	0
okretnost	1	1	0	0	0	0	0	0	0	0	0
vznemirjen	-1	0	1	1	0	0	0	0	0	0	0
vznemirjenost	-1	0	1	1	0	0	0	0	0	0	0
agnostik	0	0	0	0	0	0	0	0	0	0	0
daven	0	0	0	0	0	0	0	0	0	0	0
mučen	-1	0	1	0	0	0	1	0	0	0	0
neznosen	-1	0	1	0	0	0	1	0	0	0	0
agonija	-1	0	1	1	0	0	1	0	1	0	0
strinjati se	1	1	0	0	0	0	0	0	0	0	0
prijeten	1	1	0	0	0	0	0	0	0	0	1
dogovorjen	1	1	0	0	0	0	0	0	0	0	1
strinjati se	1	1	0	0	0	0	0	0	0	0	1
sporazum	1	1	0	0	0	0	0	0	0	0	1
kmetijski	0	0	0	0	0	0	0	0	0	0	0
kmetijstvo	1	1	0	0	0	0	0	0	0	0	0
ozemljen	-1	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	0
naprej	1	1	0	0	0	0	0	0	0	0	0
pomoč	1	1	0	0	0	0	0	0	0	0	0
pomagati	1	1	0	0	0	0	0	0	0	0	0
pestiti	-1	0	1	0	0	0	0	0	1	0	0
šibek	-1	0	1	0	0	0	1	0	1	0	0
tegoba	0	0	0	0	0	0	0	0	0	0	0
nameriti	0	0	0	0	0	0	0	0	0	0	0
cilj	0	0	0	0	0	0	0	0	0	0	0
brezciljen	-1	0	1	0	0	0	0	0	0	0	0
zrak	0	0	0	0	0	0	0	0	0	0	0
airbag	0	0	0	0	0	0	0	0	0	0	0
zračni promet	0	0	0	0	0	0	0	0	0	0	0
letalska družba	0	0	0	0	0	0	0	0	0	0	0
letalec	0	0	0	0	0	0	0	0	0	0	0
letalo	0	0	0	0	0	0	0	0	0	0	0
letališče	0	0	0	0	1	0	0	0	0	0	0
ošaben	-1	0	1	0	0	1	0	0	0	0	0
vzvišen	-1	0	1	0	0	1	0	0	0	0	0
zrakoplov	0	0	0	0	0	0	0	0	0	0	0
prehod	0	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	0
priprt	0	0	0	0	0	0	0	0	0	0	0
soroden	0	0	0	0	0	0	0	0	0	0	1
alabaster	1	1	0	0	0	0	0	0	0	0	0
alarm	-1	0	1	0	0	0	1	0	0	1	0
zaskrbljujoč	-1	0	1	0	0	0	1	0	0	1	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0	1
album	0	0	0	0	0	0	0	0	0	0	0
alkimija	0	0	0	0	0	0	0	0	0	0	0
alkohol	0	0	0	0	0	0	0	0	0	0	0
alkoholizem	-1	0	1	1	0	1	1	0	1	0	0
niša	0	0	0	0	0	0	0	0	0	0	0
opozorilo	0	0	0	0	0	0	0	0	0	0	0
budnost	1	1	0	0	1	0	1	0	0	1	0
opozoriti	0	0	0	0	1	0	1	0	0	1	0
opozorilo	0	0	0	0	1	0	1	0	0	1	0
lucerna	0	0	0	0	0	0	0	0	0	0	0
algebra	0	0	0	0	0	0	0	0	0	0	0
algebrski	0	0	0	0	0	0	0	0	0	0	0
algoritem	0	0	0	0	0	0	0	0	0	0	0
alibi	0	0	0	0	0	0	0	0	0	0	0
tujec	-1	0	1	0	0	1	1	0	0	0	0
odtujiti	-1	0	1	1	0	1	0	0	0	0	0
odtujen	-1	0	1	0	0	0	0	0	1	0	0
odtujenost	-1	0	1	1	0	1	1	0	1	0	0
goreti	0	0	0	0	0	0	0	0	0	0	0
poravnan	0	0	0	0	0	0	0	0	0	0	0
poravnava	0	0	0	0	0	0	0	0	0	0	0
podoben	0	0	0	0	0	0	0	0	0	0	0
prehrana	1	1	0	0	0	0	0	0	0	0	0
preživnina	-1	0	1	0	0	0	0	0	0	0	0
alikvot	0	0	0	0	0	0	0	0	0	0	0
živ	1	1	0	0	1	0	0	1	0	0	1
alkalija	0	0	0	0	0	0	0	0	0	0	0
alkaloidi	0	0	0	0	0	0	0	0	0	0	0
ublažiti	1	1	0	0	0	0	0	0	0	0	0
pomiriti	1	1	0	0	0	0	0	0	0	0	0
obtožba	-1	0	1	1	0	0	0	0	0	0	0
obtožiti	-1	0	1	0	0	0	0	0	0	0	0
domneven	0	0	0	0	0	0	0	0	0	0	0
zvestoba	1	1	0	0	0	0	0	0	0	0	1
alegoričen	0	0	0	0	0	0	0	0	0	0	0
alegorija	0	0	0	0	0	0	0	0	0	0	0
allegro	1	1	0	0	0	0	0	0	0	0	0
ublažiti	1	1	0	0	0	0	0	0	0	0	0
olajšanje	1	1	0	0	0	0	0	0	0	0	0
