SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
naglas	0	0	0	0	0	0	0	0	0	0
poudariti	0	0	0	0	0	0	0	0	0	0
sprejeti	0	0	0	0	0	0	0	0	0	0
sprejemljiv	1	0	0	0	0	0	0	0	0	0
sprejem, prepričanje, privolitev, prenašanje	1	0	0	0	0	0	0	0	0	0
dostop, dostopiti	0	0	0	0	0	0	0	0	0	0
dostopen	1	0	0	0	0	0	0	0	0	0
nastop	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0
nesreča, naključje	0	1	0	0	0	1	0	1	1	0
naključen, nezgoden	0	1	0	0	0	1	0	0	1	0
naključno	0	0	0	0	0	0	0	0	1	0
priznanje, čast	1	0	0	1	0	0	1	0	1	1
nastaniti	0	0	0	0	0	0	0	0	0	0
nastanitev	1	0	0	0	0	0	0	0	0	0
spremljava	1	0	0	1	0	0	1	0	0	1
spremljati	0	0	0	0	0	0	0	0	0	0
spremljevalen	0	0	0	0	0	0	0	0	0	0
sokrivec	0	0	0	0	0	0	0	0	0	0
dokončati, doseči, opraviti	1	0	0	0	0	0	1	0	0	0
izpolnjen, dosežen	1	0	0	0	0	0	1	0	0	0
uresničitev, dosežek	1	0	0	0	0	0	0	0	0	0
sporazum, dogovor	1	0	0	0	0	0	0	0	0	1
skladno	0	0	0	0	0	0	0	0	0	0
harmonika	0	0	0	0	0	0	0	0	0	0
račun	0	0	0	0	0	0	0	0	0	1
odgovornost	1	0	0	0	0	0	0	0	0	1
odgovoren	1	0	0	0	0	0	0	0	0	1
računovodja	0	0	0	0	0	0	0	0	0	1
računovodstvo	0	0	0	0	0	0	0	0	0	0
račun	0	0	0	0	0	0	0	0	0	1
akreditiran	1	0	0	0	0	0	0	0	0	1
povečanje	0	0	0	0	0	0	0	0	0	0
nabrati	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
kopičiti	0	0	0	0	0	0	0	0	0	0
kopičenje	0	0	0	0	0	0	0	0	0	0
natančnost	0	0	0	0	0	0	0	0	0	0
natančen	1	0	0	0	0	0	0	0	0	1
preklet	0	1	1	0	0	1	0	1	0	0
obtožba, obdolžitev, očitek	0	1	1	0	1	0	0	0	0	0
tožilnik, akuzativ	0	1	0	0	0	0	0	0	0	0
obtoženec	0	1	1	0	0	1	0	0	0	0
obtoževalec	0	1	1	0	0	1	0	0	0	0
obtožiti, obdolžiti	0	1	1	0	0	1	0	0	0	0
navajen	0	0	0	0	0	0	0	0	0	0
as	1	0	0	0	0	0	0	0	0	0
oceten	0	0	0	0	0	0	0	0	0	0
bolečina	0	1	0	0	0	0	0	1	0	0
doseči	1	0	0	0	0	0	1	0	0	1
dosežek	1	0	0	1	0	0	1	0	0	1
boleti, boleč	0	1	0	0	0	0	0	1	0	0
kislina, kisel	0	1	0	0	0	0	0	0	0	0
kislost	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0
priznan	0	0	0	0	0	0	0	0	0	0
priznanje, potrdilo	1	0	0	0	0	0	0	0	0	0
vrhunec	0	0	0	0	0	0	0	0	0	0
akustičen	0	0	0	0	0	0	0	0	0	0
akustika	0	0	0	0	0	0	0	0	0	0
seznaniti	0	0	0	0	0	0	0	0	0	0
znanec	0	0	0	0	0	0	0	0	0	0
seznanjen	0	0	0	0	0	0	0	0	0	0
privolitev	0	0	0	0	0	0	0	0	0	0
pridobiti, usvojiti	1	0	0	0	0	0	0	0	0	0
pridobivanje, usvajanje	1	0	0	1	0	0	0	0	0	0
pridobitev	0	0	0	0	0	0	0	0	0	0
prevzemi, akvizicije	0	0	0	0	0	0	0	0	0	0
površina	0	0	0	0	0	0	0	0	0	0
hektar	0	0	0	0	0	0	0	0	0	0
akrobat	1	0	0	0	0	1	1	0	0	1
ukrepati, dejanje	0	0	0	0	0	0	0	0	0	0
igrati	0	0	0	0	0	0	0	0	0	0
delovanje	1	0	0	0	0	0	0	0	0	0
tožljiv	0	1	1	0	1	0	0	0	0	0
aktiven	0	0	0	0	0	0	0	0	0	0
dejavnost	0	0	0	0	0	0	0	0	0	0
igralec	0	0	0	0	0	0	0	0	0	0
dejanski	1	0	0	0	0	0	0	0	0	0
dejstvo	0	0	0	0	0	0	0	0	0	0
aktuar	0	0	0	0	0	0	0	0	0	0
ostrina	1	0	0	0	0	0	0	0	0	0
bistroumnost, daljnovidnost	1	0	0	0	0	0	0	0	0	0
akupunktura	0	0	0	0	0	0	0	0	0	0
skrajen	0	0	0	0	0	0	0	0	0	0
pregovor	0	0	0	0	0	0	0	0	0	0
nepopustljiv	0	0	0	0	0	0	0	0	0	0
prilagoditi	1	0	0	0	0	0	0	0	0	0
prilagodljiv	1	0	0	0	0	0	0	0	0	0
dodati	0	0	0	0	0	0	0	0	0	0
dodan	0	0	0	0	0	0	0	0	0	0
dopolnilo	0	0	0	0	0	0	0	0	0	0
gad	0	1	1	0	1	1	0	1	0	0
zasvojenost	0	1	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0
dodaten	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0
naslov, nasloviti	0	0	0	0	0	0	0	0	0	0
naslovnik	0	0	0	0	0	0	0	0	0	0
naslov, nasloviti	1	0	0	1	0	0	0	0	0	0
spreten, izkušen	1	0	0	0	0	0	0	0	0	0
zadostnost, primernost	1	0	0	0	0	0	0	0	0	0
primeren	0	0	0	0	0	0	0	0	0	0
držati se	0	0	0	0	0	0	0	0	0	0
oprijemanje	0	0	0	0	0	0	0	0	0	0
oprijemljiv	0	0	0	0	0	0	0	0	0	0
lepiti se, držati se	0	0	0	0	0	0	0	0	0	1
adhezija	0	0	0	0	0	0	0	0	0	0
lepljiv, lepilo	0	0	0	0	0	0	0	0	0	0
zbogom	0	0	0	0	0	0	0	0	0	0
maščoba, maščevje	0	1	0	0	0	0	0	0	0	0
sosedstvo	0	0	0	0	0	0	0	0	0	0
bližnji, soseden	0	0	0	0	0	0	0	0	0	0
pridevnik	0	0	0	0	0	0	0	0	0	0
sosednji	0	0	0	0	0	0	0	0	0	0
prekiniti	0	0	0	0	0	0	0	0	0	0
prekinitev	0	0	0	0	0	0	0	0	0	0
razsoditi	0	1	0	0	0	1	0	0	0	0
presoja	0	0	0	0	0	0	0	0	0	0
dodatek	1	0	0	0	0	0	0	0	0	0
popraviti, prilagoditi	0	0	0	0	0	0	0	0	0	0
prilagoditev	0	0	0	0	0	0	0	0	0	0
adjuvant	0	0	0	0	0	0	0	0	0	0
upravljati	0	0	0	0	0	0	0	0	0	0
uprava	0	0	0	0	0	0	0	0	0	0
upraven, administrativen	0	0	0	0	0	0	0	0	0	1
odličen, občudovanja vreden	1	0	0	0	0	0	1	0	0	1
admiral	1	0	0	0	0	0	0	0	0	1
admiraliteta	0	0	0	0	0	0	0	0	0	0
občudovanje	1	0	0	0	0	0	1	0	0	1
občudovati	1	0	0	0	0	0	0	0	0	1
občudovalec	1	0	0	0	0	0	0	0	0	0
dopustnost	0	0	0	0	0	0	0	0	0	0
dopusten	1	0	0	0	0	0	0	0	0	1
vstop	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0
sprejem	0	0	0	0	0	0	0	0	0	0
sprejet	0	0	0	0	0	0	0	0	0	0
priznati	0	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0
opomin	0	1	0	0	0	1	0	0	0	0
trud	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
mladostništvo, adolescenca	0	0	0	0	0	0	0	0	0	0
mladostnik	0	0	0	0	0	0	0	0	0	0
posvojiti	0	0	0	0	0	0	0	0	0	0
posvojitev	0	0	0	0	0	0	0	0	0	0
očarljiv	1	0	0	0	0	0	1	0	0	0
oboževanje	1	0	0	0	0	0	1	0	0	1
oboževati	1	0	0	1	0	0	1	0	0	1
krasiti	0	0	0	0	0	0	0	0	0	0
okras	0	0	0	0	0	0	0	0	0	0
zmeden	0	1	0	1	0	1	0	1	0	0
odrasel	0	0	0	0	0	0	0	0	0	0
pokvarjen, ponarejen	0	1	0	0	0	0	0	0	0	0
prešuštvo	0	1	0	0	1	0	0	1	0	0
napredovati, pospešiti, napredovanje, predhoden	1	0	0	1	0	1	1	0	1	0
napreden	1	0	0	0	0	0	0	0	0	0
napredovanje	1	0	0	0	0	0	0	0	0	0
napredovanje	0	0	0	0	0	0	0	0	0	0
prednost	1	0	0	0	0	0	0	0	0	0
ugoden	1	0	0	0	0	0	0	0	0	0
prihod	1	0	0	1	0	0	1	0	0	1
pustolovščina	1	0	0	1	0	0	0	0	0	0
pustolovec	0	0	0	0	0	0	0	0	0	0
pustolovski	1	0	0	0	0	0	0	0	0	0
nasprotnik	0	1	1	0	0	0	0	0	0	0
nasproten	0	1	1	0	1	1	0	1	0	0
nesreča	0	1	1	0	0	1	0	1	0	0
oglaševati	0	0	0	0	0	0	0	0	0	0
oglas, oglaševanje	0	0	0	0	0	0	0	0	0	0
nasvet	0	0	0	0	0	0	0	0	0	1
priporočljiv	1	0	0	0	0	0	0	0	0	1
svetovati	1	0	0	0	0	0	0	0	0	1
informiran	0	0	0	0	0	0	0	0	0	1
svetovanje	0	0	0	0	0	0	0	0	0	0
svetovalec	1	0	0	0	0	0	0	0	0	1
zagovarjanje	1	0	1	1	0	0	1	0	0	1
zagovarjati	0	0	0	0	0	0	0	0	0	1
patronat	0	0	0	0	0	0	0	0	0	0
prezračevanje	0	0	0	0	0	0	0	0	0	0
zračen, letalski	0	0	0	0	0	0	0	0	0	0
letališče	0	0	0	0	0	0	0	0	0	0
aerodinamika	0	0	0	0	0	0	0	0	0	0
aeronavtika	0	0	0	0	0	0	0	0	0	0
letalo	0	0	0	0	0	0	0	0	0	0
estetski	1	0	0	0	0	0	0	0	0	0
estetika	1	0	0	0	0	0	1	0	0	0
etiologija	0	0	0	0	0	0	0	0	0	0
daleč	0	0	0	0	0	0	0	0	0	0
prijazen	1	0	0	0	0	0	0	0	0	0
zadeva, afera	0	0	0	0	0	0	0	0	0	0
vplivati	0	0	0	0	0	0	0	0	0	0
naklonjenost, ljubezen	1	0	0	0	0	0	1	0	0	1
naklonjenost	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
zaprisežena pisna izjava	0	0	0	0	0	0	0	0	0	0
podružen	1	0	0	0	0	0	0	0	0	0
pripadnost	0	0	0	0	0	0	0	0	0	0
naklonjenost	0	0	0	0	0	0	0	0	0	0
potrditi	1	0	0	0	0	0	0	0	0	1
potrditev	1	0	0	0	0	0	0	0	0	0
pritrdilen	1	0	0	0	0	0	0	0	0	0
pritrdilno	1	0	0	0	0	0	0	0	0	1
pritrditi	0	0	0	0	0	0	0	0	0	0
mučiti, prizadeti	0	1	0	0	0	1	0	1	0	0
prizadet	0	1	0	0	0	0	0	0	0	0
stiska	0	1	0	0	1	1	0	1	0	0
blaginja	1	0	0	0	0	0	1	0	0	0
premožen	1	0	0	0	0	0	0	0	0	0
privoščiti si	1	0	0	0	0	0	0	0	0	0
žalitev, žaliti, izzivanje, izzivati	0	1	1	0	1	1	0	1	1	0
oddaljen	0	0	0	0	0	0	0	0	0	0
prej	0	0	0	0	0	0	0	0	0	0
prej omenjen	0	0	0	0	0	0	0	0	0	0
prej omenjen	0	0	0	0	0	0	0	0	0	0
prestrašen	0	1	0	0	0	1	0	0	0	0
znova	0	0	0	0	0	0	0	0	0	0
zadaj	0	0	0	0	0	0	0	0	0	0
posledica	0	1	1	0	1	1	0	1	0	0
popoldne	0	0	0	0	0	0	0	0	0	0
priokus	0	1	0	0	0	0	0	0	0	0
naknadna misel	0	0	0	0	0	0	0	0	0	0
aga	1	0	0	0	0	1	0	0	0	1
ahat	0	0	0	0	0	0	0	0	0	0
starost, doba era, epoha	0	0	0	0	0	0	0	0	0	0
postaran, star	0	0	0	0	0	0	0	0	0	0
agencija	0	0	0	0	0	0	0	0	0	0
agent	0	0	0	0	0	0	0	0	0	0
aglomeracija	0	0	0	0	0	0	0	0	0	0
poslabšan	0	1	1	0	0	0	0	0	0	0
zoprn, slabšati	0	1	1	0	0	0	0	1	0	0
poslabšanje	0	1	1	0	1	0	0	0	0	0
agregat	0	0	0	0	0	0	0	0	0	0
združevanje	0	0	0	0	0	0	0	0	0	0
nasilje, napad	0	1	1	0	0	1	0	0	0	0
napadalen, nasilen	0	1	1	0	0	1	0	0	0	0
napadalec	0	1	1	0	0	1	0	0	0	0
osupel, zgrožen	0	1	0	0	1	1	0	0	1	0
spreten	1	0	0	0	0	0	0	0	0	0
okretnost	1	0	0	0	0	0	0	0	0	0
vznemirjen	0	1	1	0	0	0	0	0	0	0
vznemirjenost	0	1	1	0	0	0	0	0	0	0
agnostik	0	0	0	0	0	0	0	0	0	0
daven	0	0	0	0	0	0	0	0	0	0
mučen, neznosen	0	1	0	0	0	1	0	0	0	0
agonija	0	1	1	0	0	1	0	1	0	0
strinjati se	1	0	0	0	0	0	0	0	0	0
prijeten	1	0	0	0	0	0	0	0	0	1
dogovorjen	1	0	0	0	0	0	0	0	0	1
strinjati se	1	0	0	0	0	0	0	0	0	1
sporazum	1	0	0	0	0	0	0	0	0	1
kmetijski	0	0	0	0	0	0	0	0	0	0
kmetijstvo	1	0	0	0	0	0	0	0	0	0
ozemljen	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
naprej	1	0	0	0	0	0	0	0	0	0
pomoč	1	0	0	0	0	0	0	0	0	0
pomagati	1	0	0	0	0	0	0	0	0	0
pestiti	0	1	0	0	0	0	0	1	0	0
šibek	0	1	0	0	0	1	0	1	0	0
tegoba	0	0	0	0	0	0	0	0	0	0
nameriti, cilj	0	0	0	0	0	0	0	0	0	0
brezciljen	0	1	0	0	0	0	0	0	0	0
zrak	0	0	0	0	0	0	0	0	0	0
airbag	0	0	0	0	0	0	0	0	0	0
zračni promet	0	0	0	0	0	0	0	0	0	0
letalska družba	0	0	0	0	0	0	0	0	0	0
letalec	0	0	0	0	0	0	0	0	0	0
letalo	0	0	0	0	0	0	0	0	0	0
letališče	0	0	0	1	0	0	0	0	0	0
ošaben, vzvišen	0	1	0	0	1	0	0	0	0	0
zrakoplov	0	0	0	0	0	0	0	0	0	0
prehod	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
priprt	0	0	0	0	0	0	0	0	0	0
soroden	0	0	0	0	0	0	0	0	0	1
alabaster	1	0	0	0	0	0	0	0	0	0
alarm	0	1	0	0	0	1	0	0	1	0
zaskrbljujoč	0	1	0	0	0	1	0	0	1	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	1
album	0	0	0	0	0	0	0	0	0	0
alkimija	0	0	0	0	0	0	0	0	0	0
alkohol	0	0	0	0	0	0	0	0	0	0
alkoholizem	0	1	1	0	1	1	0	1	0	0
niša	0	0	0	0	0	0	0	0	0	0
opozorilo	0	0	0	0	0	0	0	0	0	0
budnost	1	0	0	1	0	1	0	0	1	0
opozoriti, opozorilo	0	0	0	1	0	1	0	0	1	0
lucerna	0	0	0	0	0	0	0	0	0	0
algebra	0	0	0	0	0	0	0	0	0	0
algebrski	0	0	0	0	0	0	0	0	0	0
algoritem	0	0	0	0	0	0	0	0	0	0
alibi	0	0	0	0	0	0	0	0	0	0
tujec	0	1	0	0	1	1	0	0	0	0
odtujiti	0	1	1	0	1	0	0	0	0	0
odtujen	0	1	0	0	0	0	0	1	0	0
odtujenost	0	1	1	0	1	1	0	1	0	0
goreti	0	0	0	0	0	0	0	0	0	0
poravnan	0	0	0	0	0	0	0	0	0	0
poravnava	0	0	0	0	0	0	0	0	0	0
podoben	0	0	0	0	0	0	0	0	0	0
prehrana	1	0	0	0	0	0	0	0	0	0
preživnina	0	1	0	0	0	0	0	0	0	0
alikvot	0	0	0	0	0	0	0	0	0	0
živ	1	0	0	1	0	0	1	0	0	1
alkalija	0	0	0	0	0	0	0	0	0	0
alkaloidi	0	0	0	0	0	0	0	0	0	0
ublažiti, pomiriti	1	0	0	0	0	0	0	0	0	0
obtožba	0	1	1	0	0	0	0	0	0	0
obtožiti	0	1	0	0	0	0	0	0	0	0
domneven	0	0	0	0	0	0	0	0	0	0
zvestoba	1	0	0	0	0	0	0	0	0	1
alegoričen	0	0	0	0	0	0	0	0	0	0
alegorija	0	0	0	0	0	0	0	0	0	0
allegro	1	0	0	0	0	0	0	0	0	0
ublažiti	1	0	0	0	0	0	0	0	0	0
olajšanje	1	0	0	0	0	0	0	0	0	0
ulica	0	0	0	0	0	0	0	0	0	0
zavezništvo	0	0	0	0	0	0	0	0	0	1
zavezniški, združen	1	0	0	0	0	0	0	0	0	1
aligator	0	0	0	0	0	0	0	0	0	0
dodeliti	0	0	0	0	0	0	0	0	0	0
dodelitev	0	0	0	0	0	0	0	0	0	0
odmeriti	0	0	0	0	0	0	0	0	0	0
odmera	0	0	0	0	0	0	0	0	0	0
dopusten	1	0	0	0	0	0	0	0	0	0
dodatek	0	0	0	0	0	0	0	0	0	0
dovoljen	0	0	0	0	0	0	0	0	0	0
zlitina	0	0	0	0	0	0	0	0	0	0
privlačnost	1	0	0	1	0	0	1	0	1	0
privlačen	1	0	0	0	0	0	0	0	0	0
aluzija	0	0	0	0	0	0	0	0	0	0
aluvialen	0	0	0	0	0	0	0	0	0	0
zaveznik	1	0	0	0	0	0	0	0	0	1
almanah	0	0	0	0	0	0	0	0	0	0
vsemogočen	1	0	0	0	0	0	0	0	0	0
visok	0	0	0	0	0	0	0	0	0	0
aloha	1	0	0	1	0	0	1	0	0	0
ob	0	0	0	0	0	0	0	0	0	0
zadržan, vzvišen	0	1	0	0	0	0	0	0	0	0
naglas	0	0	0	0	0	0	0	0	0	0
abeceda	0	0	0	0	0	0	0	0	0	0
abeceden	0	0	0	0	0	0	0	0	0	0
oltar	0	0	0	0	0	0	0	0	0	0
spremeniti	0	0	0	0	0	0	0	0	0	0
sprememba	0	0	0	0	0	0	0	0	0	0
prepir, zdraha	0	1	1	0	0	0	0	0	0	0
spremenjen	0	0	0	0	0	0	0	0	0	0
izmenjati	0	0	0	0	0	0	0	0	0	0
alternativa	0	0	0	0	0	0	0	0	0	0
nadmorska višina	0	0	0	0	0	0	0	0	0	0
alt	0	0	0	0	0	0	0	0	0	0
skupaj	0	0	0	0	0	0	0	0	0	0
absolvent	0	0	0	0	0	0	0	0	0	0
alveolaren	0	0	0	0	0	0	0	0	0	0
mešanica	0	0	0	0	0	0	0	0	0	0
združitev	0	0	0	0	0	0	0	0	0	0
zbirati	0	0	0	0	0	0	0	0	0	0
amater	0	0	0	0	0	0	0	0	0	0
čuditi	0	0	0	0	0	0	0	0	1	0
presenečenje	0	0	0	0	0	0	0	0	0	0
neverjeten	1	0	0	0	0	0	1	0	1	0
veleposlanik	1	0	0	0	0	0	0	0	0	1
jantar	0	0	0	0	0	0	0	0	0	0
ambient	0	0	0	0	0	0	0	0	0	0
dvoumnost	0	0	0	0	0	0	0	0	0	0
dvoumen	0	1	0	0	0	0	0	0	0	0
obseg	0	0	0	0	0	0	0	0	0	0
ambicija	1	0	0	1	0	0	1	0	0	1
ambiciozen	0	0	0	0	0	0	0	0	0	0
rešilec	0	0	0	0	0	1	0	0	0	1
zaseda	0	1	1	0	0	1	0	0	1	0
izboljšati	1	0	0	0	0	0	0	0	0	0
amen	1	0	0	0	0	0	1	0	0	1
dojemljiv	1	0	0	0	0	0	0	0	0	0
popraviti	1	0	0	0	0	0	0	0	0	0
sprememba	0	0	0	0	0	0	0	0	0	0
odkupiti se	1	0	0	0	0	0	0	0	0	0
prednost	1	0	0	0	0	0	0	0	0	0
ametist	0	0	0	0	0	0	0	0	0	0
prijazen	1	0	0	0	0	0	0	0	0	0
prijateljski	1	0	0	0	0	0	1	0	0	0
sredi	0	0	0	0	0	0	0	0	0	0
sredi	0	0	0	0	0	0	0	0	0	0
amoniak	0	0	0	0	1	0	0	0	0	0
strelivo, municija	0	0	0	0	0	0	0	0	0	0
amnezija	0	1	0	0	0	0	0	0	0	0
amnestija	1	0	0	0	0	0	1	0	0	0
amorfen	0	0	0	0	0	0	0	0	0	0
amortizacija	0	0	0	0	0	0	0	0	0	1
znesek	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	1	0	0	1	0	0	1
ampersand	0	0	0	0	0	0	0	0	0	0
anfetamin	0	1	0	0	1	0	0	0	0	0
dvoživka	0	0	0	0	0	0	0	0	0	0
amfibijski	0	0	0	0	0	0	0	0	0	0
amfiteater	0	0	0	0	0	0	0	0	0	0
ojačenje	0	0	0	0	0	0	0	0	0	0
ojačati	0	0	0	0	0	0	0	0	0	0
amplituda	0	0	0	0	0	0	0	0	0	0
obilno	0	0	0	0	0	0	0	0	0	0
amputacija	0	0	0	0	0	0	0	0	0	0
amulet	0	0	0	0	0	0	0	0	0	0
zabavati	1	0	0	0	0	0	1	0	0	0
zabaven	1	0	0	0	0	0	1	0	0	0
zabava	1	0	0	0	0	0	1	0	0	0
zabaven	1	0	0	0	0	0	1	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
anakonda	0	1	0	0	1	1	0	0	0	0
anestezija	0	0	0	0	0	0	0	0	0	0
anestetik	0	0	0	0	0	0	0	0	0	0
analen	0	1	0	0	0	0	0	0	0	0
analgetik	0	0	0	0	0	0	0	0	0	0
analogen	0	0	0	0	0	0	0	0	0	0
analogen	0	0	0	0	0	0	0	0	0	0
analogija	0	0	0	0	0	0	0	0	0	0
analiza	0	0	0	0	0	0	0	0	0	0
analitik	1	0	0	1	0	0	0	0	0	1
analitičen	0	0	0	0	0	0	0	0	0	0
analizirati	0	0	0	0	0	0	0	0	0	0
analizator	0	0	0	0	0	0	0	0	0	0
anarhizem	0	1	1	0	0	1	0	0	0	0
anarhist	0	1	1	0	0	1	0	0	0	0
anarhija	0	1	1	0	0	1	0	0	0	0
anastomoza	0	0	0	0	0	0	0	0	0	0
anatema	0	1	1	0	1	1	0	1	0	0
anatomski	0	0	0	0	0	0	0	0	0	0
anatomija	0	0	0	0	0	0	0	0	0	0
prednik	0	0	0	0	0	0	0	0	0	0
predniški	0	0	0	0	0	0	0	0	0	1
rod	0	0	0	0	0	0	0	0	0	0
sidro	1	0	0	0	0	0	0	0	0	0
sidrišče	1	0	0	0	0	0	0	1	0	0
starodaven	0	1	0	0	0	0	0	0	0	0
pomožen	0	0	0	0	0	0	0	0	0	0
androgen	0	0	0	0	0	0	0	0	0	0
vetrnica	0	0	0	0	0	0	0	0	0	0
znova	0	0	0	0	0	0	0	0	0	0
angel	1	0	0	1	0	0	1	0	1	1
angelski	1	0	0	0	0	0	1	0	0	1
jeza	0	1	1	0	0	0	0	0	0	0
angina	0	1	0	0	0	1	0	0	0	0
angiografija	0	0	0	0	0	0	0	0	0	0
kot	0	0	0	0	0	0	0	0	0	0
trnkarjenje, ribolov	0	1	0	1	0	0	0	0	0	0
jezen	0	1	1	0	1	0	0	0	0	0
muka, trpljenje	0	1	1	0	0	1	0	1	0	0
koten	0	0	0	0	0	0	0	0	0	0
brezvoden	0	0	0	0	0	0	0	0	0	0
žival	0	0	0	0	0	0	0	0	0	0
živ, živahen, poživljati	1	0	0	0	0	0	0	0	0	0
živahen	1	0	0	0	0	0	1	0	0	0
