"English (en)...1"	"German (de)"	"Slovenian (sl)"	"Positive"	"Negative"	"Anger"	"Anticipation"	"Disgust"	"Fear"	"Joy"	"Sadness"	"Surprise"	"Trust"
"abscess"	"Abszess"	"absces"	0	1	0	0	0	0	0	1	0	0
"absence"	"Abwesenheit"	"odsotnost"	0	1	0	0	0	1	0	1	0	0
"absent"	"abwesend"	"odsoten"	0	1	0	0	0	0	0	1	0	0
"absentee"	"abwesend"	"odsoten"	0	1	0	0	0	0	0	1	0	0
"absenteeism"	"Absentismus"	"odsotnost"	0	1	0	0	0	0	0	0	0	0
"absinthe"	"Absinth"	"absinthe"	0	0	0	0	0	0	0	0	0	0
"absolute"	"absolut"	"absolutno"	1	0	0	0	0	0	0	0	0	0
"absolution"	"Absolution"	"odsotnost"	1	0	0	0	0	0	1	0	0	1
"absorbed"	"absorbiert"	"absorbira"	1	0	0	0	0	0	0	0	0	0
"absorbent"	"absorbierend"	"absorbent"	0	0	0	0	0	0	0	0	0	0
"absorbing"	"absorbierend"	"absorbira"	0	0	0	0	0	0	0	0	0	0
"absorption"	"Absorption"	"absorpcija"	0	0	0	0	0	0	0	0	0	0
"abstain"	"verzichten"	"vzdržati"	0	0	0	0	0	0	0	0	0	0
"abstention"	"Enthaltung"	"vzdržani"	0	0	0	0	0	0	0	0	0	0
"abstinence"	"Abstinenz"	"abstinenca"	0	0	0	0	0	0	0	0	0	0
"abstract"	"abstrakt"	"abstraktno"	0	0	0	0	0	0	0	0	0	0
"abstraction"	"Abstraktion"	"abstrakcija"	0	0	0	0	0	0	0	0	0	0
"absurd"	"absurd"	"absurdno"	0	1	0	0	0	0	0	0	0	0
"absurdity"	"Absurdität"	"absurdnost"	0	1	0	0	0	0	0	0	0	0
"abundance"	"Fülle"	"obilje"	1	1	0	1	1	0	1	0	0	1
"abundant"	"reichlich"	"bogat"	1	0	0	0	0	0	1	0	0	0
"abuse"	"Missbrauch"	"zlorabe"	0	1	1	0	1	1	0	1	0	0
"abutment"	"Abutment"	"abutment"	0	0	0	0	0	0	0	0	0	0
"aby"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"abysmal"	"miserabel"	"ogorčen"	0	1	0	0	0	0	0	1	0	0
"abyss"	"Abgrund"	"brezno"	0	1	0	0	0	1	0	1	0	0
"academic"	"akademisch"	"akademski"	1	0	0	0	0	0	0	0	0	1
"academy"	"Akademie"	"akademija"	1	0	0	0	0	0	0	0	0	0
"accede"	"beitreten"	"pristopi"	0	0	0	0	0	0	0	0	0	0
"accelerate"	"beschleunigen"	"pospešiti"	0	0	0	1	0	0	0	0	0	0
"acceleration"	"Beschleunigung"	"pospešek"	0	0	0	0	0	0	0	0	0	0
"accent"	"Akzent"	"naglas"	0	0	0	0	0	0	0	0	0	0
"accentuate"	"akzentuieren"	"poudariti"	0	0	0	0	0	0	0	0	0	0
"accept"	"akzeptieren"	"sprejema"	0	0	0	0	0	0	0	0	0	0
"acceptable"	"akzeptabel"	"sprejemljivo"	1	0	0	0	0	0	0	0	0	0
"acceptance"	"Annahme"	"sprejem"	1	0	0	0	0	0	0	0	0	0
"access"	"Zugriff"	"dostop"	0	0	0	0	0	0	0	0	0	0
"accessible"	"zugänglich"	"dostopen"	1	0	0	0	0	0	0	0	0	0
"accession"	"Beitritt"	"pristop"	0	0	0	0	0	0	0	0	0	0
"accessory"	"Zubehörteil"	"dodatna oprema"	0	0	0	0	0	0	0	0	0	0
"accident"	"Unfall"	"nesreča"	0	1	0	0	0	1	0	1	1	0
"accidental"	"versehentlich"	"slučajno"	0	1	0	0	0	1	0	0	1	0
"accidentally"	"zufällig"	"slučajno"	0	0	0	0	0	0	0	0	1	0
"accolade"	"Akkolade"	"priznanje"	1	0	0	1	0	0	1	0	1	1
"accommodate"	"unterbringen"	"sprejemati"	0	0	0	0	0	0	0	0	0	0
"accommodation"	"Unterkunft"	"nastanitev"	1	0	0	0	0	0	0	0	0	0
"accompaniment"	"Begleitung"	"spremstvo"	1	0	0	1	0	0	1	0	0	1
"accompany"	"begleiten"	"spremljajte"	0	0	0	0	0	0	0	0	0	0
"accompanying"	"Begleitet"	"spremljajo"	0	0	0	0	0	0	0	0	0	0
"accomplice"	"Komplize"	"sostorilec"	0	0	0	0	0	0	0	0	0	0
"accomplish"	"erreichen"	"izpolniti"	1	0	0	0	0	0	1	0	0	0
"accomplished"	"erreicht"	"doseženo"	1	0	0	0	0	0	1	0	0	0
"accomplishment"	"Leistung"	"dosežek"	1	0	0	0	0	0	0	0	0	0
"accord"	"Übereinstimmung"	"sporazum"	1	0	0	0	0	0	0	0	0	1
"accordance"	"Übereinstimmung"	"skladnost"	0	0	0	0	0	0	0	0	0	0
"accordion"	"Akkordeon"	"harmonika"	0	0	0	0	0	0	0	0	0	0
"account"	"Konto"	"račun"	0	0	0	0	0	0	0	0	0	1
"accountability"	"Rechenschaftspflicht"	"odgovornost"	1	0	0	0	0	0	0	0	0	1
"accountable"	"verantwortlich"	"odgovoren"	1	0	0	0	0	0	0	0	0	1
"accountant"	"Buchhalter"	"računovodja"	0	0	0	0	0	0	0	0	0	1
"accounting"	"Buchhaltung"	"računovodstvo"	0	0	0	0	0	0	0	0	0	0
"accounts"	"Konten"	"računov"	0	0	0	0	0	0	0	0	0	1
"accredited"	"akkreditiert"	"akreditiran"	1	0	0	0	0	0	0	0	0	1
"accretion"	"Akkretion"	"povečanje"	0	0	0	0	0	0	0	0	0	0
"accrue"	"zufließen"	"pridobiti"	0	0	0	0	0	0	0	0	0	0
"accueil"	"NO TRANSLATION"	"NO TRANSLATION"	1	0	0	0	0	0	0	0	0	0
"accumulate"	"akkumulieren"	"kopičijo"	0	0	0	0	0	0	0	0	0	0
"accumulation"	"Akkumulation"	"kopičenje"	0	0	0	0	0	0	0	0	0	0
"accuracy"	"Richtigkeit"	"natančnost"	0	0	0	0	0	0	0	0	0	0
"accurate"	"genau"	"natančno"	1	0	0	0	0	0	0	0	0	1
"accursed"	"verflucht"	"preklet"	0	1	1	0	0	1	0	1	0	0
"accusation"	"Anklage"	"obtožba"	0	1	1	0	1	0	0	0	0	0
"accusative"	"Akkusativ"	"akuzativ"	0	1	0	0	0	0	0	0	0	0
"accused"	"Angeklagte"	"obtožen"	0	1	1	0	0	1	0	0	0	0
"accuser"	"Ankläger"	"obtožilec"	0	1	1	0	0	1	0	0	0	0
"accusing"	"beschuldigt"	"obtožujejo"	0	1	1	0	0	1	0	0	0	0
"accustomed"	"gewohnt"	"navajeni"	0	0	0	0	0	0	0	0	0	0
"ace"	"As"	"As"	1	0	0	0	0	0	0	0	0	0
"acetic"	"Essig"	"ocetek"	0	0	0	0	0	0	0	0	0	0
"ache"	"schmerzen"	"bolečina"	0	1	0	0	0	0	0	1	0	0
"achieve"	"leisten"	"doseči"	1	0	0	0	0	0	1	0	0	1
"achievement"	"Leistung"	"dosežek"	1	0	0	1	0	0	1	0	0	1
"aching"	"Schmerz"	"bolečine"	0	1	0	0	0	0	0	1	0	0
"acid"	"Acid"	"kisline"	0	1	0	0	0	0	0	0	0	0
"acidity"	"Säure"	"kislost"	0	0	0	0	0	0	0	0	0	0
"acknowledge"	"bestätigen"	"potrdite"	0	0	0	0	0	0	0	0	0	0
"acknowledged"	"anerkannt"	"priznano"	0	0	0	0	0	0	0	0	0	0
"acknowledgment"	"Wissen"	"potrditev"	1	0	0	0	0	0	0	0	0	0
"acme"	"Gipfel"	"acme"	0	0	0	0	0	0	0	0	0	0
"acoustic"	"akustisch"	"akustično"	0	0	0	0	0	0	0	0	0	0
"acoustics"	"Akustik"	"akustika"	0	0	0	0	0	0	0	0	0	0
"acquaint"	"bekannt machen"	"seznaniti se"	0	0	0	0	0	0	0	0	0	0
"acquaintance"	"Bekanntschaft"	"znanca"	0	0	0	0	0	0	0	0	0	0
"acquainted"	"bekannt"	"spoznali"	0	0	0	0	0	0	0	0	0	0
"acquiescence"	"Einwilligung"	"privolitev"	0	0	0	0	0	0	0	0	0	0
"acquire"	"erwerben"	"pridobiti"	1	0	0	0	0	0	0	0	0	0
"acquiring"	"Erwerben"	"pridobivanje"	1	0	0	1	0	0	0	0	0	0
"acquisition"	"Erwerb"	"pridobitev"	0	0	0	0	0	0	0	0	0	0
"acquisitions"	"Akquisitionen"	"pridobitve"	0	0	0	0	0	0	0	0	0	0
"acreage"	"Anbaufläche"	"površina"	0	0	0	0	0	0	0	0	0	0
"acres"	"Morgen"	"hektarjev"	0	0	0	0	0	0	0	0	0	0
"acrobat"	"Akrobat"	"akrobat"	1	0	0	0	0	1	1	0	0	1
"act"	"Handlung"	"ukrepati"	0	0	0	0	0	0	0	0	0	0
"acting"	"Schauspielkunst"	"igrati"	0	0	0	0	0	0	0	0	0	0
"action"	"Aktion"	"ukrepanje"	1	0	0	0	0	0	0	0	0	0
"actionable"	"umsetzbar"	"dejanski"	0	1	1	0	1	0	0	0	0	0
"active"	"aktiv"	"aktiven"	0	0	0	0	0	0	0	0	0	0
"activity"	"Aktivität"	"dejavnost"	0	0	0	0	0	0	0	0	0	0
"actor"	"Darsteller"	"igralec"	0	0	0	0	0	0	0	0	0	0
"actual"	"tatsächlich"	"dejansko"	1	0	0	0	0	0	0	0	0	0
"actuality"	"Wirklichkeit"	"aktualnost"	0	0	0	0	0	0	0	0	0	0
"actuary"	"Aktuar"	"aktuar"	0	0	0	0	0	0	0	0	0	0
"acuity"	"Schärfe"	"ostrina"	1	0	0	0	0	0	0	0	0	0
"acumen"	"Scharfsinn"	"acumen"	1	0	0	0	0	0	0	0	0	0
"acupuncture"	"Akupunktur"	"akupunktura"	0	0	0	0	0	0	0	0	0	0
"acutely"	"akut"	"akutno"	0	0	0	0	0	0	0	0	0	0
"adage"	"Sprichwort"	"adage"	0	0	0	0	0	0	0	0	0	0
"adamant"	"unnachgiebig"	"trdno"	0	0	0	0	0	0	0	0	0	0
"adapt"	"anpassen"	"prilagoditi"	1	0	0	0	0	0	0	0	0	0
"adaptable"	"anpassungsfähig"	"prilagodljiv"	1	0	0	0	0	0	0	0	0	0
"add"	"hinzufügen"	"dodaj"	0	0	0	0	0	0	0	0	0	0
"added"	"hinzugefügt"	"dodano"	0	0	0	0	0	0	0	0	0	0
"addendum"	"Nachtrag"	"dodatek"	0	0	0	0	0	0	0	0	0	0
"adder"	"Addierer"	"seštevalnik"	0	1	1	0	1	1	0	1	0	0
"addiction"	"Sucht"	"zasvojenost"	0	1	0	0	0	0	0	0	0	0
"addition"	"Zusatz"	"Poleg tega"	0	0	0	0	0	0	0	0	0	0
"additional"	"zusätzlich"	"dodatno"	0	0	0	0	0	0	0	0	0	0
"additive"	"Zusatzstoff"	"aditiv"	0	0	0	0	0	0	0	0	0	0
"address"	"Adresse"	"naslov"	0	0	0	0	0	0	0	0	0	0
"addressee"	"Adressat"	"naslovnik"	0	0	0	0	0	0	0	0	0	0
"addresses"	"Adressen"	"naslovi"	1	0	0	1	0	0	0	0	0	0
"adept"	"geschickt"	"adept"	1	0	0	0	0	0	0	0	0	0
"adequacy"	"NO TRANSLATION"	"NO TRANSLATION"	1	0	0	0	0	0	0	0	0	0
"adequate"	"angemessene"	"primerno"	0	0	0	0	0	0	0	0	0	0
"adhere"	"haften"	"drži"	0	0	0	0	0	0	0	0	0	0
"adherence"	"Adhärenz"	"spoštovanje"	0	0	0	0	0	0	0	0	0	0
"adherent"	"Anhänger"	"adherent"	0	0	0	0	0	0	0	0	0	0
"adhering"	"haftend"	"držati se"	0	0	0	0	0	0	0	0	0	1
"adhesion"	"Adhäsion"	"adhezija"	0	0	0	0	0	0	0	0	0	0
"adhesive"	"Klebstoff"	"lepilo"	0	0	0	0	0	0	0	0	0	0
"adieu"	"Adieu"	"adieu"	0	0	0	0	0	0	0	0	0	0
"adipose"	"Fett"	"maščobo"	0	1	0	0	0	0	0	0	0	0
"adjacency"	"Adjazenz"	"sosedstvo"	0	0	0	0	0	0	0	0	0	0
"adjacent"	"benachbart"	"bližnji"	0	0	0	0	0	0	0	0	0	0
"adjective"	"Adjektiv"	"pridevnik"	0	0	0	0	0	0	0	0	0	0
"adjoining"	"angrenzend"	"sosednje"	0	0	0	0	0	0	0	0	0	0
"adjourn"	"vertagen"	"prekinitev"	0	0	0	0	0	0	0	0	0	0
"adjournment"	"Unterbrechung"	"odlog"	0	0	0	0	0	0	0	0	0	0
"adjudicate"	"entscheiden"	"odločanje"	0	1	0	0	0	1	0	0	0	0
"adjudication"	"Entscheidung"	"presojanje"	0	0	0	0	0	0	0	0	0	0
"adjunct"	"Zusatz"	"dodatek"	1	0	0	0	0	0	0	0	0	0
"adjust"	"einstellen"	"prilagodite"	0	0	0	0	0	0	0	0	0	0
"adjustment"	"Einstellung"	"prilagoditev"	0	0	0	0	0	0	0	0	0	0
"adjuvant"	"Adjuvans"	"adjuvans"	0	0	0	0	0	0	0	0	0	0
"administer"	"verwalten"	"dajanje"	0	0	0	0	0	0	0	0	0	0
"administration"	"Verwaltung"	"uprava"	0	0	0	0	0	0	0	0	0	0
"administrative"	"administrativ"	"upravni"	0	0	0	0	0	0	0	0	0	1
"admirable"	"bewundernswert"	"občudujoče"	1	0	0	0	0	0	1	0	0	1
"admiral"	"Admiral"	"Admiral"	1	0	0	0	0	0	0	0	0	1
"admiralty"	"Admiralität"	"Admiraliteta"	0	0	0	0	0	0	0	0	0	0
"admiration"	"Bewunderung"	"občudovanje"	1	0	0	0	0	0	1	0	0	1
"admire"	"bewundern"	"občuduj"	1	0	0	0	0	0	0	0	0	1
"admirer"	"Bewunderer"	"občudovalec"	1	0	0	0	0	0	0	0	0	0
"admissibility"	"Zulässigkeit"	"dopustnost"	0	0	0	0	0	0	0	0	0	0
"admissible"	"zulässig"	"dopusten"	1	0	0	0	0	0	0	0	0	1
"admission"	"Eintritt"	"sprejem"	0	0	0	0	0	0	0	0	0	0
"admit"	"eingestehen"	"priznati"	0	0	0	0	0	0	0	0	0	0
"admittance"	"Zulassung"	"sprejem"	0	0	0	0	0	0	0	0	0	0
"admitted"	"zugelassen"	"priznal"	0	0	0	0	0	0	0	0	0	0
"admitting"	"einlassen"	"priznava"	0	0	0	0	0	0	0	0	0	0
"admixture"	"Beimischung"	"dodatek"	0	0	0	0	0	0	0	0	0	0
"admonition"	"Ermahnung"	"opomin"	0	1	0	0	0	1	0	0	0	0
"ado"	"gut"	"Ado"	0	0	0	0	0	0	0	0	0	0
"adobe"	"Adobe"	"adobe"	0	0	0	0	0	0	0	0	0	0
"adolescence"	"Jugend"	"adolescence"	0	0	0	0	0	0	0	0	0	0
"adolescent"	"Jugendlicher"	"mladostnik"	0	0	0	0	0	0	0	0	0	0
"adopt"	"adoptieren"	"sprejme"	0	0	0	0	0	0	0	0	0	0
"adoption"	"Annahme"	"posvojitev"	0	0	0	0	0	0	0	0	0	0
"adorable"	"bezaubernd"	"čudovito"	1	0	0	0	0	0	1	0	0	0
"adoration"	"Anbetung"	"oboževanje"	1	0	0	0	0	0	1	0	0	1
"adore"	"verehren"	"obožujem"	1	0	0	1	0	0	1	0	0	1
"adorn"	"schmücken"	"krasijo"	0	0	0	0	0	0	0	0	0	0
"adornment"	"Schmuck"	"okras"	0	0	0	0	0	0	0	0	0	0
"adrift"	"treibend"	"vzpenjati"	0	1	0	1	0	1	0	1	0	0
"adult"	"Erwachsene"	"odrasla oseba"	0	0	0	0	0	0	0	0	0	0
"adulterated"	"verfälscht"	"preobremenjen"	0	1	0	0	0	0	0	0	0	0
"adultery"	"Ehebruch"	"prešuštvo"	0	1	0	0	1	0	0	1	0	0
"advance"	"Voraus"	"napreduje"	1	0	0	1	0	1	1	0	1	0
"advanced"	"fortgeschritten"	"napredno"	1	0	0	0	0	0	0	0	0	0
"advancement"	"Förderung"	"napredovanje"	1	0	0	0	0	0	0	0	0	0
"advancing"	"vorrückend"	"napreduje"	0	0	0	0	0	0	0	0	0	0
"advantage"	"Vorteil"	"prednost"	1	0	0	0	0	0	0	0	0	0
"advantageous"	"vorteilhaft"	"ugodno"	1	0	0	0	0	0	0	0	0	0
"advent"	"Advent"	"prihod"	1	0	0	1	0	0	1	0	0	1
"adventure"	"Abenteuer"	"avantura"	1	0	0	1	0	0	0	0	0	0
"adventurer"	"Abenteurer"	"pustolovec"	0	0	0	0	0	0	0	0	0	0
"adventurous"	"abenteuerlich"	"pustolovski"	1	0	0	0	0	0	0	0	0	0
"adversary"	"Gegner"	"nasprotnik"	0	1	1	0	0	0	0	0	0	0
"adverse"	"nachteilig"	"neugodno"	0	1	1	0	1	1	0	1	0	0
"adversity"	"Unglück"	"nesreča"	0	1	1	0	0	1	0	1	0	0
"advertise"	"werben"	"oglašujte"	0	0	0	0	0	0	0	0	0	0
"advertisement"	"Werbung"	"oglas"	0	0	0	0	0	0	0	0	0	0
"advice"	"Rat"	"nasvet"	0	0	0	0	0	0	0	0	0	1
"advisable"	"ratsam"	"priporočljivo"	1	0	0	0	0	0	0	0	0	1
"advise"	"beraten"	"svetuje"	1	0	0	0	0	0	0	0	0	1
"advised"	"empfohlen"	"svetuje"	0	0	0	0	0	0	0	0	0	1
"advisement"	"Beratung"	"svetovanje"	0	0	0	0	0	0	0	0	0	0
"adviser"	"Berater"	"svetovalec"	1	0	0	0	0	0	0	0	0	1
"advocacy"	"Interessenvertretung"	"zagovorništvo"	1	0	1	1	0	0	1	0	0	1
"advocate"	"befürworten"	"zagovarjati"	0	0	0	0	0	0	0	0	0	1
"aegis"	"Ägide"	"aegis"	0	0	0	0	0	0	0	0	0	0
"aeration"	"Belüftung"	"prezračevanje"	0	0	0	0	0	0	0	0	0	0
"aerial"	"Antenne"	"antena"	0	0	0	0	0	0	0	0	0	0
"aerodrome"	"Flugplatz"	"letališče"	0	0	0	0	0	0	0	0	0	0
"aerodynamics"	"Aerodynamik"	"aerodinamika"	0	0	0	0	0	0	0	0	0	0
"aeronautics"	"Luftfahrt"	"aeronavtika"	0	0	0	0	0	0	0	0	0	0
"aeroplane"	"Flugzeug"	"letalo"	0	0	0	0	0	0	0	0	0	0
"aesthetic"	"ästhetisch"	"estetsko"	1	0	0	0	0	0	0	0	0	0
"aesthetics"	"Ästhetik"	"estetika"	1	0	0	0	0	0	1	0	0	0
"aetiology"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"afar"	"fern"	"daleč"	0	0	0	0	0	0	0	0	0	0
"affable"	"freundlich"	"prijazno"	1	0	0	0	0	0	0	0	0	0
"affair"	"Affäre"	"afera"	0	0	0	0	0	0	0	0	0	0
"affecting"	"beeinflussen"	"vplivajo"	0	0	0	0	0	0	0	0	0	0
"affection"	"Zuneigung"	"naklonjenost"	1	0	0	0	0	0	1	0	0	1
"affections"	"Zuneigungen"	"naklonjenosti"	0	0	0	0	0	0	0	0	0	0
"affiche"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"affidavit"	"eidesstattliche Erklärung"	"pisna izjava"	0	0	0	0	0	0	0	0	0	0
"affiliated"	"angegliedert"	"povezano"	1	0	0	0	0	0	0	0	0	0
"affiliation"	"Zugehörigkeit"	"pripadnost"	0	0	0	0	0	0	0	0	0	0
"affinity"	"Affinität"	"afiniteto"	0	0	0	0	0	0	0	0	0	0
"affirm"	"bestätigen"	"potrdi"	1	0	0	0	0	0	0	0	0	1
"affirmation"	"Bejahung"	"potrditev"	1	0	0	0	0	0	0	0	0	0
"affirmative"	"positiv"	"pritrdilno"	1	0	0	0	0	0	0	0	0	0
"affirmatively"	"bejahend"	"pritrdilno"	1	0	0	0	0	0	0	0	0	1
"affix"	"Affix"	"pritrdite"	0	0	0	0	0	0	0	0	0	0
"afflict"	"bedrängen"	"grozijo"	0	1	0	0	0	1	0	1	0	0
"afflicted"	"gequält"	"prizadeta"	0	1	0	0	0	0	0	0	0	0
"affliction"	"Gebrechen"	"trpljenje"	0	1	0	0	1	1	0	1	0	0
"affluence"	"Wohlstand"	"bogastvo"	1	0	0	0	0	0	1	0	0	0
"affluent"	"wohlhabend"	"bogat"	1	0	0	0	0	0	0	0	0	0
"afford"	"sich leisten"	"privoščiti"	1	0	0	0	0	0	0	0	0	0
"affront"	"Beleidigung"	"napasti"	0	1	1	0	1	1	0	1	1	0
"afield"	"außerhalb"	"polno"	0	0	0	0	0	0	0	0	0	0
"afore"	"vorher"	"prej"	0	0	0	0	0	0	0	0	0	0
"aforementioned"	"vorgenannten"	"zgoraj omenjeno"	0	0	0	0	0	0	0	0	0	0
"aforesaid"	"vorgenannten"	"omenjeno"	0	0	0	0	0	0	0	0	0	0
"afraid"	"Angst"	"strah"	0	1	0	0	0	1	0	0	0	0
"afresh"	"erneut"	"ponovno"	0	0	0	0	0	0	0	0	0	0
"aft"	"achtern"	"zadaj"	0	0	0	0	0	0	0	0	0	0
"aftermath"	"Nachwirkungen"	"posledice"	0	1	1	0	1	1	0	1	0	0
"afternoon"	"Nachmittag"	"popoldne"	0	0	0	0	0	0	0	0	0	0
"aftertaste"	"Nachgeschmack"	"pookus"	0	1	0	0	0	0	0	0	0	0
"afterthought"	"nachträglicher Einfall"	"pozneje"	0	0	0	0	0	0	0	0	0	0
"aga"	"NO TRANSLATION"	"NO TRANSLATION"	1	0	0	0	0	1	0	0	0	1
"agate"	"Achat"	"agate"	0	0	0	0	0	0	0	0	0	0
"age"	"Alter"	"starost"	0	0	0	0	0	0	0	0	0	0
"aged"	"alt"	"starost"	0	0	0	0	0	0	0	0	0	0
"agency"	"Agentur"	"agencija"	0	0	0	0	0	0	0	0	0	0
"agent"	"Agent"	"agent"	0	0	0	0	0	0	0	0	0	0
"agglomeration"	"Agglomeration"	"aglomeracija"	0	0	0	0	0	0	0	0	0	0
"aggravated"	"verschärft"	"poslabšanje"	0	1	1	0	0	0	0	0	0	0
"aggravating"	"verschlimmernd"	"otežuje"	0	1	1	0	0	0	0	1	0	0
"aggravation"	"Verschlimmerung"	"poslabšanje"	0	1	1	0	1	0	0	0	0	0
"aggregate"	"Aggregat"	"agregat"	0	0	0	0	0	0	0	0	0	0
"aggregation"	"Anhäufung"	"združevanje"	0	0	0	0	0	0	0	0	0	0
"aggression"	"Aggression"	"agresija"	0	1	1	0	0	1	0	0	0	0
"aggressive"	"aggressiv"	"agresivno"	0	1	1	0	0	1	0	0	0	0
"aggressor"	"Aggressor"	"agresor"	0	1	1	0	0	1	0	0	0	0
"aghast"	"entsetzt"	"aghast"	0	1	0	0	1	1	0	0	1	0
"agile"	"agil"	"agilno"	1	0	0	0	0	0	0	0	0	0
"agility"	"Beweglichkeit"	"okretnost"	1	0	0	0	0	0	0	0	0	0
"agitated"	"aufgeregt"	"vznemirjen"	0	1	1	0	0	0	0	0	0	0
"agitation"	"Agitation"	"vznemirjenost"	0	1	1	0	0	0	0	0	0	0
"agnostic"	"agnostisch"	"agnostik"	0	0	0	0	0	0	0	0	0	0
"ago"	"vor"	"nazaj"	0	0	0	0	0	0	0	0	0	0
"agonizing"	"quälend"	"agonizira"	0	1	0	0	0	1	0	0	0	0
"agony"	"Qual"	"agonija"	0	1	1	0	0	1	0	1	0	0
"agree"	"zustimmen"	"se strinjam"	1	0	0	0	0	0	0	0	0	0
"agreeable"	"angenehm"	"prijetno"	1	0	0	0	0	0	0	0	0	1
"agreed"	"einverstanden"	"dogovorili"	1	0	0	0	0	0	0	0	0	1
"agreeing"	"zustimmen"	"strinjam se"	1	0	0	0	0	0	0	0	0	1
"agreement"	"Zustimmung"	"sporazum"	1	0	0	0	0	0	0	0	0	1
"agricultural"	"landwirtschaftlich"	"kmetijski"	0	0	0	0	0	0	0	0	0	0
"agriculture"	"Landwirtschaft"	"kmetijstvo"	1	0	0	0	0	0	0	0	0	0
"aground"	"auf Grund"	"zmeraj"	0	1	0	0	0	0	0	0	0	0
"agua"	"NO TRANSLATION"	"NO TRANSLATION"	0	0	0	0	0	0	0	0	0	0
"ahead"	"voraus"	"naprej"	1	0	0	0	0	0	0	0	0	0
"aid"	"Hilfe"	"pomoč"	1	0	0	0	0	0	0	0	0	0
"aiding"	"Unterstützung"	"pomoč"	1	0	0	0	0	0	0	0	0	0
